,Actual,Future Predict
2024-03-13 00:00:00-04:00,5.730000019073486,
2024-03-14 00:00:00-04:00,5.989999771118164,
2024-03-15 00:00:00-04:00,6.46999979019165,
2024-03-18 00:00:00-04:00,5.730000019073486,
2024-03-19 00:00:00-04:00,5.559999942779541,
2024-03-20 00:00:00-04:00,5.989999771118164,
2024-03-21 00:00:00-04:00,6.409999847412109,
2024-03-22 00:00:00-04:00,6.929999828338622,
2024-03-25 00:00:00-04:00,6.860000133514404,
2024-03-26 00:00:00-04:00,6.619999885559082,
2024-03-27 00:00:00-04:00,6.739999771118164,
2024-03-28 00:00:00-04:00,6.719999790191651,
2024-04-01 00:00:00-04:00,7.019999980926514,
2024-04-02 00:00:00-04:00,7.050000190734865,
2024-04-03 00:00:00-04:00,7.090000152587892,
2024-04-04 00:00:00-04:00,6.719999790191651,
2024-04-05 00:00:00-04:00,6.820000171661377,
2024-04-08 00:00:00-04:00,6.679999828338624,
2024-04-09 00:00:00-04:00,6.9600000381469735,
2024-04-10 00:00:00-04:00,7.19000005722046,
2024-04-11 00:00:00-04:00,7.340000152587891,
2024-04-12 00:00:00-04:00,7.079999923706056,
2024-04-15 00:00:00-04:00,6.809999942779543,
2024-04-16 00:00:00-04:00,6.489999771118164,
2024-04-17 00:00:00-04:00,6.630000114440918,
2024-04-18 00:00:00-04:00,4.659999847412109,
2024-04-19 00:00:00-04:00,4.730000019073486,
2024-04-22 00:00:00-04:00,4.75,
2024-04-23 00:00:00-04:00,4.679999828338623,
2024-04-24 00:00:00-04:00,4.489999771118164,
2024-04-25 00:00:00-04:00,4.420000076293945,
2024-04-26 00:00:00-04:00,4.619999885559082,
2024-04-29 00:00:00-04:00,4.570000171661377,
2024-04-30 00:00:00-04:00,4.409999847412109,
2024-05-01 00:00:00-04:00,4.349999904632568,
2024-05-02 00:00:00-04:00,4.489999771118164,
2024-05-03 00:00:00-04:00,4.489999771118164,
2024-05-06 00:00:00-04:00,4.440000057220459,
2024-05-07 00:00:00-04:00,4.539999961853027,
2024-05-08 00:00:00-04:00,4.320000171661377,
2024-05-09 00:00:00-04:00,4.449999809265137,
2024-05-10 00:00:00-04:00,4.360000133514404,
2024-05-13 00:00:00-04:00,4.400000095367432,
2024-05-14 00:00:00-04:00,4.570000171661377,
2024-05-15 00:00:00-04:00,4.389999866485596,
2024-05-16 00:00:00-04:00,4.429999828338623,
2024-05-17 00:00:00-04:00,4.46999979019165,
2024-05-20 00:00:00-04:00,4.369999885559082,
2024-05-21 00:00:00-04:00,4.25,
2024-05-22 00:00:00-04:00,4.050000190734863,
2024-05-23 00:00:00-04:00,3.799999952316284,
2024-05-24 00:00:00-04:00,3.9100000858306885,
